Trial 0 finished with value: 1.0179308652877808 and parameters: {'learning_rate': 1.3124649863747118e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.052058449429580246, 'batch_size': 4, 'warmup_ratio': 0.051818996064852074}. Best is trial 0 with value: 1.0179308652877808.
 Trial 11 finished with value: 0.6383668184280396 and parameters: {'learning_rate': 1.605960199399902e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.0726815966099835, 'batch_size': 4, 'warmup_ratio': 0.034922891634835196}. Best is trial 11 with value: 0.6383668184280396.
Trial 12 finished with value: 0.7244914174079895 and parameters: {'learning_rate': 2.0966084664789243e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.08418581169657688, 'batch_size': 8, 'warmup_ratio': 0.05691044440990228}. Best is trial 11 with value: 0.6383668184280396.
Trial 13 finished with value: 0.6554287672042847 and parameters: {'learning_rate': 2.8765060980140754e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.060696104622188135, 'batch_size': 8, 'warmup_ratio': 0.0444097957518081}. Best is trial 11 with value: 0.6383668184280396.
Trial 14 finished with value: 0.8816291093826294 and parameters: {'learning_rate': 2.7597527534540282e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.05610303615816015, 'batch_size': 16, 'warmup_ratio': 0.05217001251486819}. Best is trial 11 with value: 0.6383668184280396.
Trial 15 finished with value: 0.7133086323738098 and parameters: {'learning_rate': 1.6142022568257205e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 16, 'lora_dropout': 0.10456562412251844, 'batch_size': 4, 'warmup_ratio': 0.04498805092878187}. Best is trial 11 with value: 0.6383668184280396.
Trial 16 finished with value: 0.6630268096923828 and parameters: {'learning_rate': 2.7384202233132056e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.0536285254601173, 'batch_size': 8, 'warmup_ratio': 0.0845668927880707}. Best is trial 11 with value: 0.6383668184280396.
Trial 17 finished with value: 0.8082680106163025 and parameters: {'learning_rate': 2.8379894603274056e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 16, 'lora_dropout': 0.07729309875816626, 'batch_size': 8, 'warmup_ratio': 0.033394024848459346}. Best is trial 11 with value: 0.6383668184280396.
 Trial 18 finished with value: 0.6398540735244751 and parameters: {'learning_rate': 1.5942837311104357e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.07772907599846299, 'batch_size': 4, 'warmup_ratio': 0.03262685478194983}. Best is trial 11 with value: 0.6383668184280396.
Trial 19 finished with value: 0.6264609098434448 and parameters: {'learning_rate': 1.785856585068423e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.10478009278968822, 'batch_size': 4, 'warmup_ratio': 0.037588133949496734}. Best is trial 19 with value: 0.6264609098434448.
 Trial 20 finished with value: 1.0515434741973877 and parameters: {'learning_rate': 1.6928367391689294e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.13072272838399024, 'batch_size': 16, 'warmup_ratio': 0.07264486684791205}. Best is trial 19 with value: 0.6264609098434448.
Trial 21 finished with value: 0.6157774329185486 and parameters: {'learning_rate': 1.979602451146707e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.09516165515176236, 'batch_size': 4, 'warmup_ratio': 0.048199183355596815}. Best is trial 21 with value: 0.6157774329185486.
Trial 22 finished with value: 0.7217969298362732 and parameters: {'learning_rate': 2.3946994838887218e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 8, 'lora_dropout': 0.09681182180419443, 'batch_size': 4, 'warmup_ratio': 0.06453813525435674}. Best is trial 21 with value: 0.6157774329185486.

Trial 24 finished with value: 0.6649800539016724 and parameters: {'learning_rate': 1.3200005302792882e-05, 'lr_scheduler': 'linear', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.053853409832070376, 'batch_size': 4, 'warmup_ratio': 0.04865509275066468}. Best is trial 21 with value: 0.6157774329185486.
Trial 25 finished with value: 0.6110676527023315 and parameters: {'learning_rate': 2.083075572824991e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.11637609771363153, 'batch_size': 4, 'warmup_ratio': 0.04649007089665136}. Best is trial 25 with value: 0.6110676527023315.
Trial 26 finished with value: 0.6201386451721191 and parameters: {'learning_rate': 1.8835535188421532e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.11046880269602395, 'batch_size': 4, 'warmup_ratio': 0.07494054436633651}. Best is trial 25 with value: 0.6110676527023315.
Trial 27 finished with value: 0.6453078985214233 and parameters: {'learning_rate': 1.5334570533031378e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.13040512201354232, 'batch_size': 4, 'warmup_ratio': 0.08708541113280373}. Best is trial 25 with value: 0.6110676527023315.
Trial 28 finished with value: 0.5956746935844421 and parameters: {'learning_rate': 2.510066515022361e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.10928252621808496, 'batch_size': 4, 'warmup_ratio': 0.03325896112640083}. Best is trial 28 with value: 0.5956746935844421.
Trial 29 finished with value: 0.586391031742096 and parameters: {'learning_rate': 2.8988802606233215e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.11338059675214027, 'batch_size': 4, 'warmup_ratio': 0.046697630964238436}. Best is trial 29 with value: 0.586391031742096.
 Trial 30 finished with value: 0.6001039147377014 and parameters: {'learning_rate': 2.3613881380130124e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.11023746456633202, 'batch_size': 4, 'warmup_ratio': 0.033968883812377615}. Best is trial 29 with value: 0.586391031742096.
 Trial 31 finished with value: 0.8538931012153625 and parameters: {'learning_rate': 2.974912826231461e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.0986139996969155, 'batch_size': 16, 'warmup_ratio': 0.04008410026946922}. Best is trial 29 with value: 0.586391031742096.
Trial 32 finished with value: 0.6734612584114075 and parameters: {'learning_rate': 2.8576726834678702e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 8, 'lora_dropout': 0.12529465774925755, 'batch_size': 4, 'warmup_ratio': 0.05075006139941184}. Best is trial 29 with value: 0.586391031742096.
Trial 33 finished with value: 0.5980474948883057 and parameters: {'learning_rate': 2.428026451778549e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.12710391656983194, 'batch_size': 4, 'warmup_ratio': 0.03575317382216855}. Best is trial 29 with value: 0.586391031742096.
Trial 34 finished with value: 0.5890582799911499 and parameters: {'learning_rate': 2.7349783438601555e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.14867368911569373, 'batch_size': 4, 'warmup_ratio': 0.035156326138041795}. Best is trial 29 with value: 0.586391031742096.
Trial 35 finished with value: 0.6602548956871033 and parameters: {'learning_rate': 2.8005366621727287e-05, 'lr_scheduler': 'linear', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.13628817947182015, 'batch_size': 8, 'warmup_ratio': 0.03457841621200675}. Best is trial 29 with value: 0.586391031742096.
Trial 36 finished with value: 0.6894927024841309 and parameters: {'learning_rate': 2.4124542854178288e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.14795644063323532, 'batch_size': 8, 'warmup_ratio': 0.05087204717662463}. Best is trial 29 with value: 0.586391031742096.
 Trial 37 finished with value: 0.6053628921508789 and parameters: {'learning_rate': 2.2262653268360625e-05, 'lr_scheduler': 'cosine', 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.14646755715284934, 'batch_size': 4, 'warmup_ratio': 0.05240460751963785}. Best is trial 29 with value: 0.586391031742096.
Trial 38 finished with value: 0.6298055052757263 and parameters: {'learning_rate': 2.625157232135307e-05, 'lr_scheduler': 'cosine_with_restarts', 'lora_r': 16, 'lora_alpha': 16, 'lora_dropout': 0.11962175991698364, 'batch_size': 4, 'warmup_ratio': 0.04975760771455761}. Best is trial 29 with value: 0.586391031742096.
Trial 39 finished with value: 0.5932674407958984 and parameters: {'learning_rate': 2.5765931740776575e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.1027201107001482, 'batch_size': 4, 'warmup_ratio': 0.03400798617006224}. Best is trial 29 with value: 0.586391031742096.
Trial 40 finished with value: 0.5879229307174683 and parameters: {'learning_rate': 2.771167241168848e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.08926107177221834, 'batch_size': 4, 'warmup_ratio': 0.03359876993517523}. Best is trial 29 with value: 0.586391031742096.
Trial 41 finished with value: 0.5851140022277832 and parameters: {'learning_rate': 2.8744695687112865e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.0810940305392357, 'batch_size': 4, 'warmup_ratio': 0.04042500026503622}. Best is trial 41 with value: 0.5851140022277832.
Trial 42 finished with value: 0.5948429703712463 and parameters: {'learning_rate': 2.5179901070415928e-05, 'lr_scheduler': 'linear', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.08486071812251815, 'batch_size': 4, 'warmup_ratio': 0.03989659479491788}. Best is trial 41 with value: 0.5851140022277832.
Trial 43 finished with value: 0.6658046841621399 and parameters: {'learning_rate': 2.969471439360311e-05, 'lr_scheduler': 'linear', 'lora_r': 16, 'lora_alpha': 8, 'lora_dropout': 0.10765895902872755, 'batch_size': 4, 'warmup_ratio': 0.03358036932187594}. Best is trial 41 with value: 0.5851140022277832.
Trial 44 finished with value: 0.5847010612487793 and parameters: {'learning_rate': 2.9089891826881823e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.096107628615683, 'batch_size': 4, 'warmup_ratio': 0.06934415060563733}. Best is trial 44 with value: 0.5847010612487793.
Trial 45 finished with value: 0.585334300994873 and parameters: {'learning_rate': 2.8819354967941576e-05, 'lr_scheduler': 'cosine', 'lora_r': 8, 'lora_alpha': 32, 'lora_dropout': 0.09370724400539303, 'batch_size': 4, 'warmup_ratio': 0.09601415533821651}. Best is trial 44 with value: 0.5847010612487793.
